Soln D Concentration,Soln A Concentration,Relative Humidity,White Noise (db),Soln B Concentration,Soln C Concentration,Tried,Percentage success
20.466,60.54,17.546,34.521,68.004,49.558,2,0
20.624,71.99,19.305,2.785,117.55,52.45,3,0
20.192,106.83,24.218,21.283,259.121,77.497,2,0
20.298,94.253,25.219,24.293,279.779,98.774,8,0
19.824,87.999,66.153,80.772,264.688,15.563,2,0
20.366,73.193,55.48,16.275,153.932,109.97,12,0
20.258,82.948,41.845,7.993,247.318,98.709,4,0
20.225,89.078,51.059,14.013,216.934,113.575,2,0
20.255,88.171,24.053,21.223,270.867,113.037,12,33.33333333
20.257,80.741,21.154,5.651,188.214,113.059,12,50
20.274,62.841,52.928,19.506,216.343,102.968,17,17.64705882
19.556,74.498,84.822,76.121,261.033,6.934,23,65.2173913
20.331,83.029,54.271,63.997,265.417,100.977,21,4.761904762
20.314,71.014,62.701,43.956,263.383,77.424,12,0
20.205,79.5,19.567,27.718,247.159,120.652,3,0
20.196,86.035,15.313,17.086,149.395,124.226,33,27.27272727
20.205,86.578,60.589,38.795,40.026,120.48,38,18.42105263
20.221,93.033,56.548,9.863,34.038,122.897,37,0
20.186,79.888,46.904,7.879,30.359,112.527,39,0
20.416,60.817,75.875,11.615,28.552,113.779,12,0
20.399,50.784,87.799,19.744,17.279,79.787,12,0
20.313,45.572,48.488,9.706,13.49,86.216,9,0
20.249,52.949,53.592,13.772,13.969,50.788,27,96.2962963
20.162,97.961,15.511,17.903,20.535,116.252,37,0
20.14,119.048,24.845,24.572,220.866,133.339,43,30.23255814
20.148,120.3,16.823,15.366,278.9,131.226,54,18.51851852
20.104,122.143,14.051,3.086,140.117,136.325,14,14.28571429
20.169,108.777,22.323,9.501,208.801,135.116,16,75
20.223,100.647,35.698,9.11,200.003,136.212,2,0
20.192,81.082,43.577,4.83,235.497,139.185,47,38.29787234
20.185,66.687,66.496,14.592,213.985,135.504,35,0
20.1,57.447,66.212,5.758,221.595,124.037,56,0
20.166,49.285,80.971,7.223,173.569,79.336,43,0
20.301,46.971,80.821,10.348,195.804,120.077,39,0
20.407,51.521,81.547,28.859,188.121,130.751,32,0
20.368,73.781,59.291,41.018,238.188,113.002,46,0
19.74,74.313,89,31.918,234.5,0,36,0
19.804,70.885,86.295,22.601,58.793,18.537,23,0
20.189,83.173,81.314,79.492,40.257,29.806,25,0
20.217,93.492,59.54,47.968,21.474,140.169,34,0
20.265,96.487,48.268,44.515,22.135,131.063,74,44.59459459
20.206,97.554,23.787,30.935,19.631,154.118,32,40.625
20.223,99.743,20.084,28.304,17.943,132.56,38,78.94736842
20.201,102.782,23.853,30.764,17.517,157.385,41,56.09756098
20.168,102.049,16.252,5.577,55.201,157.842,91,47.25274725
20.231,99.38,12.724,23.736,19.63,164.5,72,59.72222222
20.066,117.621,22.886,6,49.575,160.884,52,65.38461538
20.116,117.736,21.593,3.626,185.828,163.129,32,43.75
20.134,113.782,35.544,5.349,244.573,162.715,66,42.42424242
20.18,107.073,26.926,7.485,252.915,165.303,71,42.25352113
20.193,94.571,39.616,2.062,210.48,164.969,65,38.46153846
20.219,95.744,17.41,9.418,228.683,171.121,68,60.29411765
20.226,92.113,68.622,18.478,245.564,95.201,78,20.51282051
20.196,114.982,27.435,30.681,271.933,154.587,33,54.54545455
20.267,118.164,41.065,8.275,171.633,116.855,55,43.63636364
20.253,104.939,48.502,11.799,194.995,101.906,90,23.33333333
20.309,90.061,63.347,30.89,260.217,102.207,55,30.90909091
20.386,85.293,43.153,38.242,264.296,95.514,69,63.76811594
20.262,85.578,64.019,34.384,202.266,134.455,52,46.15384615
20.197,97.637,38.722,5.754,20.598,172.899,116,62.06896552
20.208,93.757,26.751,5.148,30.625,176.68,104,46.15384615
20.202,86.112,34.204,9.375,17.995,170.579,68,39.70588235
20.202,94.981,35.013,12.113,26.96,179.993,69,75.36231884
20.212,107.775,44.487,20.023,24.492,110.107,92,46.73913043
20.251,120.845,35.577,18.921,23.748,111.475,108,54.62962963
20.117,129.154,14.703,5.659,25.003,181.348,114,54.38596491
20.163,121.408,17.02,18.247,243.762,183.594,123,46.34146341
20.191,112.439,24.746,17.06,270.737,183.108,40,77.5
20.186,106.711,34.4,4.892,239.841,181.055,23,34.7826087
20.208,94.198,45.078,9.299,227.901,182.646,44,63.63636364
20.29,76.598,46.725,9.231,191.561,156.124,52,88.46153846
20.318,62.709,71.389,6.212,198.077,115.336,98,37.75510204
