Soln D Concentration,Soln A Concentration,Relative Humidity,White Noise (db),Soln B Concentration,Soln C Concentration,Tried,Percentage success
20.474,64.957,46.986,8.571,122.807,19.881,17,0
20.502,58.068,17.089,12.659,150.936,9.078,11,0
20.44,56.246,42.69,52.789,272.938,0,26,0
20.341,70.529,27.505,7.521,141.957,25.178,29,0
20.301,69.453,30.256,38.466,280.383,0,36,13.88888889
20.267,72.873,40.24,18.336,199.756,23.073,5,40
20.422,74.458,68.599,18.997,171.886,7.428,17,76.47058824
20.176,49.959,41.061,8.432,246.014,8.382,2,0
20.545,20.774,81.641,52.964,224.696,0,9,0
20.152,42.884,72.786,40.787,261.367,0,4,100
20.324,74.81,44.064,4.274,265.045,13.143,6,0
20.384,75.778,28.226,3.069,228.089,31.589,10,0
20.433,74.048,16.802,10.731,214.381,19.423,16,0
20.449,70.419,39.012,8.834,204.249,14.755,8,0
20.692,32.58,58.005,66.543,262.615,0,15,0
20.661,15.72,76.435,57.559,236.45,0,6,0
20.549,18.908,72.874,6.82,174.527,0.222,18,0
20.591,67.222,47.951,71.207,271.792,0,5,0
20.496,63.57,74.435,28.749,244.515,0,2,0
20.534,24.966,80.785,21.089,203.183,0,16,0
20.576,35.154,74.038,32.912,203.283,0,10,0
20.506,62.992,49.368,40.878,273.825,0,2,0
20.455,46.862,87.71,45.561,277.775,0,14,0
20.38,55.397,88.859,63.681,271.858,0,3,0
20.316,75.965,23.253,15.305,16.412,5.717,14,0
20.356,77.613,13.344,12.642,17.03,9.881,2,100
20.348,73.397,16.273,7.861,138.339,15.001,12,0
20.32,70.761,26.48,15.004,266.514,0,5,0
20.328,67.503,23.395,6.075,181.672,6.104,9,44.44444444
20.183,27.746,84.709,19.541,253.997,0,3,0
20.527,48.662,16.101,23.208,115.958,0,15,20
20.531,27.434,42.499,21.369,100.53,0,7,0
20.484,45.084,23.952,17.299,140.936,0,8,0
20.373,68.919,12.788,10.825,144.034,1.309,4,0
20.337,59.151,22.738,15.498,246.739,0.081,17,0
20.378,75.498,35.95,30.413,268.05,0.019,2,0
20.348,64.446,24.611,12.763,212.073,0,3,0
20.38,64.078,20.91,5.463,232.666,0,8,25
20.381,56.521,67.134,9.171,266.091,0,17,35.29411765
20.496,53.098,20.056,11.736,207.667,0,2,100
20.45,86.808,40.381,51.387,274.696,0,2,0
20.462,81.077,53.198,22.38,271.592,1.733,8,0
20.194,64.978,82.217,25.9,264.933,0,2,0
19.482,20.495,83.226,0,244.954,23.95,3,0
20.319,50.528,79.347,29.936,245.4,43.911,2,0
20.161,103.649,46.883,3.041,165.311,109.495,1,0
20.225,98.897,52.74,11.492,171.106,70.192,3,33.33333333
20.335,81.181,42.576,15.158,251.715,90.317,2,0
20.157,98.976,11.004,6.025,193.047,126.963,23,26.08695652
20.201,76.633,53.578,8.855,116.295,127.454,55,65.45454545
20.299,64.948,89,1.113,259.646,64.064,41,46.34146341
20.472,61.695,88.87,3.926,278.604,79.911,14,57.14285714
19.753,68.317,89,56.935,278.054,21.209,12,0
19.585,75.572,89,80.737,254.273,9.293,11,0
